regija,id,ime_oglasa,vrsta_nepremicnine,tip_nepremicnine,zemljisce,velikost,cena,agencija
dolenjska ,6302814,GORENJE VRHPOLJE,Posest,Zazidljiva,,3661.0,12000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6367301,GORENJE VRHPOLJE,Posest,Zazidljiva,,7000.0,140000.0,Rocco nepremičnine d.o.o.
dolenjska ,6187072,GORENJE VRHPOLJE,Posest,Kmetija,,7007.0,195000.0,Novi list d.o.o.
dolenjska ,6257994,GORICA,Posest,Kmetija,,220000.0,110000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6363074,GORIČA VAS,Poslovni prostor,Gostinski lokal,,208.0,200000.0,"Bamba nepremičnine, Tanko Franc s.p."
dolenjska ,6368418,"GORIČA VAS, RIBNICA",Posest,Zazidljiva,,1943.0,90000.0,Deželna banka Slovenije d.d.
dolenjska ,6292639,"GORIČA VAS, RIBNICA",Posest,Drugo,,2046.0,1000.0,Zasebna ponudba
dolenjska ,6364239,GORNJA LOKVICA,Vikend,Bivalen,,70.0,60000.0,Zasebna ponudba
dolenjska ,6273419,GORNJA TEŽKA VODA,Posest,Zazidljiva,,3711.0,55000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6324911,GORNJE LOŽINE,Hiša,Samostojna,,289.8,260000.0,Last in posest d.o.o.
dolenjska ,6275636,GRABROVEC,Posest,Kmetijsko zemljišče,,2600.0,9500.0,Zasebna ponudba
dolenjska ,6333505,"GRADAC, 98, 104, 122",Hiša,Drugo,,2500.0,650000.0,Zasebna ponudba
dolenjska ,6322879,GRADENC,Hiša,Samostojna,,48.0,34000.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
dolenjska ,6077929,GRADENJE,Hiša,Samostojna,,300.0,120000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6285152,GRADIŠČE PRI TREBNJEM,Vikend,Zidan,,78.0,60000.0,Zasebna ponudba
dolenjska ,6352608,GRADIŠČE PRI TREBNJEM,Vikend,Zidan,,100.2,70000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6273057,GRADIŠČE PRI TREBNJEM,Počitniški objekt,Vikend,,210.0,70000.0,Zasebna ponudba
dolenjska ,6321883,"GRADIŠČE PRI TREBNJEM, Z RAZGLEDOM",Hiša,Samostojna,,128.0,90000.0,"Rodman MGM d.o.o., PE nepremičnine"
dolenjska ,6312096,GRIBLJE,Hiša,Samostojna,,197.7,75000.0,Zasebna ponudba
dolenjska ,6285705,"GRIČ, RIBNICA OKOLICA",Hiša,Samostojna,,375.0,220000.0,Zasebna ponudba
dolenjska ,5920386,GRIČEK PRI ŽELJNAH,Stanovanje,petsobno,,191.1,115000.0,Last in posest d.o.o.
dolenjska ,6342547,GRIČEK PRI ŽELJNAH,Posest,Zazidljiva,,1773.0,26.0,Zasebna ponudba
dolenjska ,6349815,GRM,Hiša,Samostojna,,49.0,30000.0,"Infostan, Radiša Miljaković s.p."
dolenjska ,6325251,GROBLJE PRI PREKOPI,Posest,Kmetijsko zemljišče,,5508.0,1.5,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6309844,"GROBLJE PRI PREKOPI, ŠENTJERNEJ",Hiša,Samostojna,,80.0,95000.0,Nepremičnine Lara d.o.o.
dolenjska ,6150381,GRUČA,Hiša,Samostojna,,166.0,300000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6255667,GUMBERK,Hiša,Dvojček,,133.0,115000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6151086,HMELJČIČ,Vikend,Zidan,,40.0,15000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6334894,"HMELJČIČ, 91, VIKEND Z VINOGRADOM",Vikend,Bivalen,,24.0,33000.0,Zasebna ponudba
dolenjska ,6340069,"HMELJČIČ, SONČNA, RAZGLEDNA LOKACIJA OB GOZDU",Vikend,Zidan,,67.0,36000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6149317,HRAST PRI JUGORJU,Hiša,Samostojna,,88.0,21000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6320794,HRAST PRI JUGORJU,Hiša,Samostojna,,122.8,63000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6283337,HRAST PRI JUGORJU,Posest,Zazidljiva,,904.0,19500.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6159374,HRAST PRI JUGORJU,Posest,Zazidljiva,,1226.0,21500.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6355832,HRAST PRI JUGORJU,Posest,Kmetijsko zemljišče,,3683.0,6000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6355835,HRAST PRI JUGORJU,Posest,Kmetijsko zemljišče,,4392.0,4000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6320795,HRAST PRI JUGORJU,Posest,Kmetijsko zemljišče,,18893.0,28339.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6320808,HRAST PRI JUGORJU,Posest,Kmetijsko zemljišče,,34675.0,35000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6239210,"HRAST PRI JUGORJU, NA ROBU NASELJA",Posest,Zazidljiva,,1032.0,20000.0,Akva d.o.o. PE nepremičnine
dolenjska ,6230430,"HRAST PRI JUGORJU, RAVNACE",Posest,Zazidljiva,,2794.0,15.0,Leran d.o.o.
dolenjska ,6346282,HRASTJE PRI MIRNI PEČI,Vikend,Zidan,,60.0,31000.0,Zasebna ponudba
dolenjska ,6366311,HRIB - LOŠKI POTOK,Hiša,Samostojna,,80.0,24500.0,Zasebna ponudba
dolenjska ,6360245,HRIB - LOŠKI POTOK,Hiša,Samostojna,,300.0,380000.0,Zasebna ponudba
dolenjska ,6348597,HRIB PRI FARI,Posest,Zazidljiva,,1985.0,36000.0,"PBO nepremičnine, Most inženiring d.o.o."
